iter	Logloss
0	0.6505879715
1	0.6108112237
2	0.5789455855
3	0.5430201726
4	0.518483785
5	0.4967956145
6	0.478296235
7	0.4617748372
8	0.4480963804
9	9	0.4134275710	10	0.3916846211	11	0.374405212	012	0.357470013	013	0.349264714	014	0.336715015	015	0.3251240765
16	0.3083261984
17	0.2974545049
18	0.2906487825
19	0.2712654817
20	0.2494656717
21	0.2436895062
22	0.234593076
23	0.2276614725
24	0.2242246094
25	0.2146961192
26	0.2035816067
27	0.1980839685
28	0.1893708602
29	0.1835290209
30	0.1790712121
31	0.1728695573
32	0.1659051354
33	0.1593572759
34	0.1563728107
35	0.1531478245
36	0.1491759352
37	0.144977624
38	0.1407561752
39	0.137845735
40	0.1325041743
41	0.1303318641
42	0.1266990091
43	0.1237460619
44	0.1211923642
45	0.1187504113
46	0.1156177421
47	0.1085551439
48	0.1045564602
49	0.1006873116
50	0.09903295766
51	0.09648300702
52	0.09457949962
53	0.09265761268
54	0.08970556906
55	0.08644535894
56	0.08349505615
57	0.08218433944
58	0.07910554836
59	0.07715889707
60	0.07624040421
61	0.0751810117
62	0.07299336707
63	0.07134382696
64	0.06771572213
65	0.06686593761666	0.06459318606867	0.06322552269	68	0.0620049370	069	0.060820271	0.70	0.05909772	0.171	0.0579573	0.1772	0.056774	0.17273	0.05475	0.171474	0.0576	0.1706675	0.077	0.16979776	0.78	0.169377477	079	0.1691461778	80	0.1680455879	81	0.1673153278082	0.1666873638183	0.1660540141884	0.1655344324
85	0.1650694341
86	0.1645812205
87	0.1639432097
88	0.1632579495
89	0.1624865122
90	0.161801889
91	0.1613890604
92	0.160879058
93	0.1605799611
94	0.1600708146
95	0.1596289506
96	0.1585366182
97	0.1577732183
98	0.1571488978
99	0.1564894405
100	0.1560151601
101	0.1554667925
102	0.1547518812
103	0.1540177489
104	0.1531651715
105	0.1525736204
106	0.1519916898
107	0.1515914873
108	0.1507472287
109	0.1502416571
110	0.1499764442
111	0.1497284421
112	0.1492800495
113	0.1487616288
114	0.1482901616
115	0.1476609087
116	0.1470644319
117	0.1467517375
118	0.1465619707
119	0.1457546522
120	0.1451755719
121	0.1447978535
122	0.1444803064
123	0.1439911759
124	0.1435975406
125	0.143147123
126	0.1423039365
127	0.1418621655
128	0.1413876926
129	0.1411487166
130	0.1409140465
131	0.1403444394
132	0.1399094094
133	0.139336802
134	0.1392348552
135	0.1388172787
136	0.1384152609
137	0.1374523316
138	0.137165752
139	0.1364727463
140	0.1362870214
141	0.1358676814
142	0.1356881707
143	0.1352465071
144	0.1347678397
145	0.1344482916
146	0.1340232562
147	0.1336417334
148	0.1331899105
149	0.1327967051
150	0.1325056098
151	0.1320217314
152	0.1317698493
153	0.1311464563
154	0.1308529458
155	0.1307257043
156	0.1304176756
157	0.1299940999
158	0.1296854236
159	0.1292477183
160	0.128795232
161	0.1283534755
162	0.1280993654
163	0.1277951079
164	0.127016128
165	0.1262792914
166	0.1257136957
167	0.1255439256
168	0.1251661667
169	0.1243096051
170	0.1239526306
171	0.1233260701
172	0.1229817734
173	0.122402356
174	0.1222842321
175	0.1219521541
176	0.1216810853
177	0.1213765107
178	0.1209894206
179	0.1206073491
180	0.1201892829
181	0.119862252
182	0.1195477821
183	0.1192920213
184	0.118925732
185	0.1184849708
186	0.1182771426
187	0.1178311027
188	0.1176248974
189	0.1173965198
190	0.1172529778
191	0.116817348
192	0.1164409831
193	0.1158595939
194	0.1148233736
195	0.114522415
196	0.1142023446
197	0.1135131713
198	0.1132871616
199	0.1130268148
200	0.1126840692
201	0.1120570211
202	0.1116876221
203	0.110684659
204	0.110536681
205	0.1102444099
206	0.1098289765
207	0.1094757254
208	0.1092023338
209	0.1082622297
210	0.1080752077
211	0.1073627182
212	0.1070399335
213	0.106472867
214	0.1063178069
215	0.1052129865
216	0.1049978845
217	0.1046806008
218	0.103981231
219	0.1036276449
220	0.1025172193
221	0.1020699334
222	0.1018249946
223	0.1015545229
224	0.1012926302
225	0.1004793263
226	0.1001818974
227	0.09981016628
228	0.09947004815
229	0.09918954798
230	0.09890240235
231	0.09873898044
232	0.09831960127
233	0.09799245159
234	0.09789867884
235	0.09744745844
236	0.09716021661
237	0.09687193577
238	0.09655843327
239	0.09626234058
240	0.09584995784
241	0.09551830973
242	0.09526010791
243	0.0949308782
244	0.09468880101
245	0.09443140797
246	0.09403311032
247	0.09374220673
248	0.09358450869
249	0.09333007213
250	0.09311474194
251	0.09278588511
252	0.09217871628
253	0.09177775474
254	0.09155328374
255	0.0912050678
256	0.09115393048
257	0.09069292171
258	0.09043487647
259	0.09022591108
260	0.08980610263
261	0.08942584376
262	0.08930112217
263	0.08897233036
264	0.08855718289
265	0.08828592371
266	0.08807834765
267	0.08781228089
268	0.08757010418
269	0.0872285098
270	0.08684862513
271	0.0864255477
272	0.08592759021
273	0.08501696402
274	0.08459221461
275	0.08413056957
276	0.08394632689
277	0.08375772247
278	0.08361052472
279	0.08340344229
280	0.08273571136
281	0.08254542833
282	0.08247412511
283	0.08220868401
284	0.08190506211
285	0.08184963671
286	0.08167911884
287	0.08138390228
288	0.08110756048
289	0.08079514942
290	0.08059461922
291	0.07976019773
292	0.07958996484
293	0.07939131959
294	0.07908626125
295	0.07892534664
296	0.07879375369
297	0.0783112119
298	0.07799070003
299	0.0775901545
300	0.07733852414
301	0.07718708076
302	0.0769116486
303	0.07662512599
304	0.07651442281
305	0.07637304845
306	0.07592010299
307	0.07573506712
308	0.07536203458
309	0.07514781207
310	0.0748325404
311	0.07466548459
312	0.07451451493
313	0.074361937
314	0.07415982671
315	0.07395312711
316	0.07370427542
317	0.07352374925
318	0.07328112203
319	0.07311767922
320	0.07284482469
321	0.07239222956
322	0.07218672556
323	0.07201919635
324	0.07189113711
325	0.07162587914
326	0.07129808753
327	0.07107350208
328	0.07082860343
329	0.07065120889
330	0.07029687265
331	0.07005634303
332	0.06989352887
333	0.06968531388
334	0.06953011518
335	0.06941063112
336	0.06919270572
337	0.06898782738
338	0.06885986799
339	0.06859060258
340	0.06823740288
341	0.06797010802
342	0.06778832023
343	0.06742927391
344	0.06722576268
345	0.06685973188
346	0.0666188828
347	0.06647178424
348	0.06628679514
349	0.0658168174
350	0.06567396547
351	0.06557717453
352	0.06538730684
353	0.06525638931
354	0.06501332784
355	0.06487927801
356	0.06470548088
357	0.06443068367
358	0.06430467293
359	0.06409250988
360	0.06385081087
361	0.06363776572
362	0.06345673496
363	0.0633103314
364	0.06320065562
365	0.06307226397
366	0.06262065809
367	0.06247040135
368	0.06224782492
369	0.06213433378
370	0.0618384826
371	0.06172738961
372	0.06164504669
373	0.06146070913
374	0.06119583731
375	0.061061539
376	0.06092617182
377	0.06073543065
378	0.06039879017
379	0.06026673112
380	0.0600834611
381	0.05997826417
382	0.05983792252
383	0.05971760513
384	0.05946753363
385	0.05935864474
386	0.05929598372
387	0.059126685
388	0.05902841616
389	0.05850922422
390	0.05830530528
391	0.05822915398
392	0.0581372715
393	0.05795065355
394	0.05778699975
395	0.05761855958
396	0.05752132146
397	0.05712195593
398	0.05695732449
399	0.05679048166
400	0.05663617966
401	0.05654301665
402	0.05643562856
403	0.05634339211
404	0.05618393418
405	0.05604877799
406	0.05587755982
407	0.05569290843
408	0.05553108983
409	0.05537243969
410	0.05526910018
411	0.05509121433
412	0.05492301269
413	0.05482605953
414	0.05466113616
415	0.05456319906
416	0.05441485447
417	0.05432313255
418	0.05387869262
419	0.05374100159
420	0.05361205394
421	0.05351830109
422	0.05328594194
423	0.05312657458
424	0.05303146491
425	0.05278486475
426	0.0526821436
427	0.0525553327
428	0.05228840574
429	0.05222450798
430	0.05200320976
431	0.05167161474
432	0.05150946473
433	0.05131544894
434	0.0511943838
435	0.05101496863
436	0.05095693872
437	0.05082869635
438	0.05078005739
439	0.05068901023
440	0.05056346691
441	0.05044499401
442	0.05031840803
443	0.05019806742
444	0.05008731082
445	0.04986186317
446	0.04969423213
447	0.04960895827
448	0.04952913028
449	0.04950844917
450	0.04939008673
451	0.0492375632
452	0.0491405855
453	0.04898421343
454	0.04883454354
455	0.04872063473
456	0.04864343646
457	0.04852373279
458	0.04838574751
459	0.04828225738
460	0.04804833937
461	0.04796848086
462	0.0478873833
463	0.04777840152
464	0.04756006609
465	0.04747828845
466	0.04736867869
467	0.04724154168
468	0.04718443866
469	0.04710183831
470	0.04700503344
471	0.04690759461
472	0.04665359894
473	0.04650930824
474	0.04627661602
475	0.04615813482
476	0.04604627385
477	0.04596083744
478	0.04593339279
479	0.04585871674
480	0.04576295686
481	0.04569399739
482	0.04557945596
483	0.04543943345
484	0.04535508879
485	0.04524081209
486	0.04511453065
487	0.04502852861
488	0.04486243187
489	0.04478848035
490	0.04470351136
491	0.04462463979
492	0.04454711972
493	0.04445283941
494	0.04428629847
495	0.04420533824
496	0.04405126647
497	0.04393198876
498	0.04385395798
499	0.04371842543

475	0.004013634309
476	0.004013634309
477	0.004013634309
478	0.004013634309
479	0.004013634309
480	0.004013634309
481	0.004013634309
482	0.004013634309
483	0.004013634309
484	0.004013634309
485	0.004013634309
486	0.004013634309
487	0.004013634309
488	0.004013634309
489	0.004013634309
490	0.004013634309
491	0.004013634309
492	0.004013634309
493	0.004013634309
494	0.004013634309
495	0.004013634309
496	0.004013634309
497	0.004013634309
498	0.004013634309
499	0.004013634309
